controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
DELAY-CC (latency-aware),205.1,0.0,0.166,5000,7052,1000,0,0
DELAY-CC (latency-aware),209.7,0.0,0.218,5000,7052,1000,7052,0
DELAY-CC (latency-aware),209.6,0.0,0.164,5000,7052,1000,7052,0
DELAY-CC (latency-aware),212.5,0.0,0.159,5000,7052,1000,0,0
DELAY-CC (latency-aware),210.7,0.0,0.215,5000,7052,1000,7052,0
DELAY-CC (latency-aware),206.3,0.0,0.166,5000,7052,1000,7052,0
DELAY-CC (latency-aware),207.2,0.0,0.164,5000,7052,1000,0,0
DELAY-CC (latency-aware),209.2,0.0,0.212,5000,7052,1000,7052,0
DELAY-CC (latency-aware),208.2,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),211.2,0.0,0.161,5000,7052,1000,0,0
DELAY-CC (latency-aware),205.2,0.0,0.225,5000,7052,1000,7052,0
DELAY-CC (latency-aware),213.6,0.0,0.159,5000,7052,1000,7052,0
DELAY-CC (latency-aware),206.4,0.0,0.206,5000,7052,1000,7052,0
DELAY-CC (latency-aware),208.4,0.0,0.169,5000,7052,1000,7052,0
DELAY-CC (latency-aware),211.9,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),211.2,0.0,0.161,5000,7052,1000,0,0
DELAY-CC (latency-aware),209.5,0.0,0.225,5000,7052,1000,7052,0
DELAY-CC (latency-aware),210.9,0.0,0.159,5000,7052,1000,7052,0
DELAY-CC (latency-aware),204.9,0.0,0.169,5000,7052,1000,0,0
DELAY-CC (latency-aware),205.9,0.0,0.222,5000,7052,1000,7052,0
DELAY-CC (latency-aware),206.6,0.0,0.164,5000,7052,1000,7052,0
DELAY-CC (latency-aware),205.0,0.0,0.159,5000,7052,1000,0,0
DELAY-CC (latency-aware),206.9,0.0,0.222,5000,7052,1000,7052,0
DELAY-CC (latency-aware),210.3,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),202.6,0.0,0.209,5000,7052,1000,7052,0
DELAY-CC (latency-aware),203.0,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),199.7,0.0,0.209,5000,7052,1000,7052,0
DELAY-CC (latency-aware),200.5,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),206.2,0.0,0.159,5000,7052,1000,0,0
DELAY-CC (latency-aware),207.7,0.0,0.222,5000,7052,1000,7052,0
DELAY-CC (latency-aware),209.3,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),202.6,0.0,0.215,5000,7052,1000,7052,0
DELAY-CC (latency-aware),200.1,0.0,0.154,5000,7052,1000,0,0
